Feature,Chi2 Score
thal,44.87796482746519
exang,38.05261289859465
ca,28.038393748052155
oldpeak,11.38266929358615
slope,10.984336103885589
sex,7.432845483026321
cp,7.384879207844271
restecg,4.322448455869447
thalach,2.6706375503789954
age,1.0058960735774278
trestbps,0.5326473185196346
fbs,0.1646692402175821
chol,0.11107876013060003
